Date,Open,High,Low,Close,Volume
10-May-07,30.68,30.93,30.53,30.58,54086700
9-May-07,30.70,30.93,30.57,30.78,50680300
8-May-07,30.68,30.94,30.58,30.75,47216000
7-May-07,30.52,30.76,30.48,30.71,58131600
4-May-07,30.68,30.70,30.29,30.56,96288900
3-May-07,30.60,31.00,30.53,30.97,80382600
2-May-07,30.39,30.69,30.30,30.61,70637800
1-May-07,29.94,30.42,29.90,30.19,69397700
30-Apr-07,30.13,30.37,29.94,29.94,55304700
27-Apr-07,30.17,30.74,30.00,30.12,17268700
26-Apr-07,29.09,29.35,28.91,29.10,56044600
25-Apr-07,28.86,29.00,28.69,28.99,37025000
24-Apr-07,28.79,28.96,28.59,28.79,30167300
23-Apr-07,28.96,28.99,28.67,28.78,36639200
20-Apr-07,28.98,29.10,28.70,29.02,48871000
19-Apr-07,28.34,28.89,28.26,28.69,41374600
18-Apr-07,28.61,28.67,28.36,28.60,40188200
17-Apr-07,28.63,28.89,28.56,28.85,32148100
16-Apr-07,28.60,28.75,28.21,28.73,28354300
13-Apr-07,28.43,28.70,28.10,28.61,35239200
12-Apr-07,28.06,28.62,28.04,28.54,42885200
11-Apr-07,28.30,28.57,27.99,28.11,42450300
10-Apr-07,28.50,28.64,28.22,28.40,36081000
9-Apr-07,28.58,28.72,28.39,28.57,31101800
5-Apr-07,28.32,28.65,28.30,28.55,29741200
4-Apr-07,28.01,28.78,27.90,28.50,54516700
3-Apr-07,27.86,28.06,27.75,27.87,38895900
2-Apr-07,27.89,27.93,27.56,27.74,37392600
30-Mar-07,27.75,27.95,27.50,27.87,43620800
29-Mar-07,27.84,27.84,27.49,27.75,40935900
28-Mar-07,27.58,28.00,27.40,27.64,44992600
27-Mar-07,28.04,28.16,27.65,27.72,53301900
26-Mar-07,27.94,28.22,27.70,28.22,44181700
23-Mar-07,28.22,28.27,27.80,28.02,48594400
22-Mar-07,28.52,28.55,28.01,28.27,45997900
21-Mar-07,27.90,28.52,27.56,28.52,61475400
20-Mar-07,27.93,28.16,27.76,27.84,46187600
19-Mar-07,27.34,27.83,27.20,27.83,44774400
16-Mar-07,27.35,27.48,27.20,27.33,62144100
15-Mar-07,27.32,27.47,27.20,27.28,47871000
14-Mar-07,26.82,27.40,26.73,27.40,74198600
13-Mar-07,27.25,27.40,26.71,26.72,72260400
12-Mar-07,27.18,27.48,27.13,27.44,35377200
9-Mar-07,27.42,27.48,27.03,27.28,55522400
8-Mar-07,27.72,27.85,26.60,27.32,69723600
7-Mar-07,27.76,27.90,27.55,27.61,48983900
6-Mar-07,27.80,27.94,27.65,27.83,45470300
5-Mar-07,27.49,27.91,27.41,27.55,44732900
2-Mar-07,28.02,28.16,27.76,27.76,62920800
1-Mar-07,27.82,28.33,27.73,28.09,79257500
28-Feb-07,27.95,28.25,27.92,28.17,78443100
27-Feb-07,28.71,28.97,27.79,27.87,85720900
26-Feb-07,28.96,29.12,28.82,29.07,58052200
23-Feb-07,29.22,29.28,28.89,28.90,63604000
22-Feb-07,29.30,29.54,29.16,29.39,55259000
21-Feb-07,28.75,29.39,28.74,29.35,64642900
20-Feb-07,28.63,28.86,28.47,28.83,52107500
16-Feb-07,28.90,28.94,28.65,28.74,3610000
15-Feb-07,29.58,29.65,29.22,29.46,52000300
14-Feb-07,29.17,29.69,29.15,29.40,55204300
13-Feb-07,29.04,29.20,28.96,29.01,48756600
12-Feb-07,28.89,29.09,28.83,28.94,47931400
9-Feb-07,29.35,29.40,28.93,28.98,68660400
8-Feb-07,29.24,29.80,29.20,29.26,47455700
7-Feb-07,29.64,29.70,29.25,29.37,64182300
6-Feb-07,29.59,29.75,29.22,29.51,77599600
5-Feb-07,29.97,30.02,29.41,29.61,78787900
2-Feb-07,30.82,30.84,30.13,30.19,56878500
1-Feb-07,30.84,30.94,30.37,30.56,53223300
31-Jan-07,30.41,31.10,30.35,30.86,73471900
30-Jan-07,30.57,30.64,30.14,30.48,61068700
29-Jan-07,30.65,30.78,30.34,30.53,55960200
26-Jan-07,31.22,31.23,30.60,30.60,93443200
25-Jan-07,31.08,31.48,30.45,30.45,82441800
24-Jan-07,30.78,31.30,30.65,31.09,57787500
23-Jan-07,30.63,30.96,30.52,30.74,49022700
22-Jan-07,31.06,31.12,30.51,30.72,51760200
19-Jan-07,30.73,31.11,30.69,31.11,74778000
18-Jan-07,31.15,31.37,30.80,31.00,54250400
17-Jan-07,31.26,31.44,31.01,31.10,54928100
16-Jan-07,31.26,31.45,31.03,31.16,61880700
12-Jan-07,30.65,31.39,30.64,31.21,2680000
11-Jan-07,29.76,30.75,29.65,30.70,97705900
10-Jan-07,29.80,29.89,29.43,29.66,54193400
9-Jan-07,30.00,30.18,29.73,29.96,44316100
8-Jan-07,29.65,30.10,29.53,29.93,48037000
5-Jan-07,29.63,29.75,29.45,29.64,44075600
4-Jan-07,29.70,29.97,29.44,29.81,44525600
3-Jan-07,29.91,30.25,29.40,29.86,75950900
29-Dec-06,29.86,30.15,29.83,29.86,40871500
28-Dec-06,29.86,30.03,29.81,29.98,26452400
27-Dec-06,29.99,30.13,29.91,30.02,30462800
26-Dec-06,29.53,30.00,29.40,29.99,36818500
22-Dec-06,29.82,29.86,29.62,29.64,37299500
21-Dec-06,30.13,30.14,29.89,29.98,31986700
20-Dec-06,29.99,30.24,29.97,30.09,30753300
19-Dec-06,29.71,30.17,29.53,29.99,49719400
